Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Response Time CV,Final Batch Dispatch Time
1.0,1.0,0,0,0,0.0,0.0,0.993
2.0,2.0,0,0,0,0.0,0.0,1.78
3.0,3.0,0,0,0,0.0,0.0,2.91
4.0,4.0,0,0,0,0.0,0.0,3.763
5.0,5.0,0,0,0,0.0,0.0,4.774
6.0,6.0,0,0,0,0.0,0.0,5.975
7.0,7.0,0,0,0,0.0,0.0,7.043
8.0,8.0,0,0,0,0.0,0.0,7.978
9.0,9.0,0,0,0,0.0,0.0,8.909
10.0,10.0,0,0,0,0.0,0.0,9.859
11.0,11.0,0,0,0,0.0,0.0,10.933
12.0,12.0,0,0,0,0.0,0.0,11.891
13.0,13.0,0,0,0,0.0,0.0,12.984
14.0,14.0,0,0,0,0.0,0.0,14.082
15.0,15.0,0,0,0,0.0,0.0,15.019
16.0,16.0,0,0,0,0.0,0.0,15.962
17.0,17.0,0,0,0,0.0,0.0,16.963
18.0,18.0,0,0,0,0.0,0.0,17.953
19.0,19.0,30,0,0,14.183566666666666,0.13214263728948022,18.963
20.0,20.0,0,0,0,0.0,0.0,20.03
21.0,21.0,0,0,0,0.0,0.0,20.942
22.0,22.0,0,0,0,0.0,0.0,21.959
23.0,23.0,0,0,0,0.0,0.0,22.991
24.0,24.0,0,0,0,0.0,0.0,23.991
25.0,25.0,0,0,0,0.0,0.0,24.96
26.0,26.0,0,0,0,0.0,0.0,25.987
27.0,27.0,0,0,0,0.0,0.0,26.965
28.0,28.0,0,0,0,0.0,0.0,27.993
29.0,29.0,0,0,0,0.0,0.0,28.999
30.0,30.0,0,0,0,0.0,0.0,29.967
31.0,31.0,0,0,0,0.0,0.0,30.991
32.0,32.0,0,0,0,0.0,0.0,31.977
33.0,33.0,0,0,0,0.0,0.0,32.975
34.0,34.0,0,0,0,0.0,0.0,33.988
35.0,35.0,0,0,0,0.0,0.0,34.979
36.0,36.0,0,0,0,0.0,0.0,35.983
37.0,37.0,0,0,0,0.0,0.0,36.975
38.0,38.0,0,0,0,0.0,0.0,37.986
39.0,39.0,0,0,0,0.0,0.0,38.971
40.0,40.0,0,0,0,0.0,0.0,39.979
41.0,41.0,0,0,0,0.0,0.0,41.001
42.0,42.0,1,0,0,23.009,0.0,41.976
43.0,43.0,0,0,0,0.0,0.0,43.001
44.0,44.0,25,0,0,24.642239999999997,0.013611019440527046,43.985
45.0,45.0,1,0,0,25.105,0.0,44.979
46.0,46.0,0,0,0,0.0,0.0,45.986
47.0,47.0,0,0,0,0.0,0.0,46.991
48.0,48.0,0,0,0,0.0,0.0,48.005
49.0,49.0,0,0,0,0.0,0.0,48.982
50.0,50.0,0,0,0,0.0,0.0,49.981
51.0,51.0,14,0,0,7.248571428571429,0.0719752623660341,51.027
52.0,52.0,5,0,0,7.647999999999999,0.05261956939262141,51.983
53.0,53.0,0,0,0,0.0,0.0,53.002
54.0,54.0,0,0,0,0.0,0.0,54.004
55.0,55.0,0,0,0,0.0,0.0,54.992
56.0,56.0,0,0,0,0.0,0.0,55.994
57.0,57.0,19,0,0,5.69478947368421,0.050604226750476225,56.983
58.0,58.0,0,0,0,0.0,0.0,57.997
59.0,59.0,0,0,0,0.0,0.0,58.979
60.0,60.0,0,0,0,0.0,0.0,59.981
61.0,0.0,0,0,0,0.0,0.0,61.0
62.0,0.0,19,0,0,5.341842105263158,0.027211121486120086,62.0
63.0,0.0,0,0,0,0.0,0.0,63.0
64.0,0.0,16,0,0,8.847249999999999,1.156942560624137,64.0
65.0,0.0,8,0,0,2.716375,2.6775849733602204,65.0
